dataset,parameter_differences,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,best_val_f1_mean,best_val_f1_std,best_val_accuracy_mean,best_val_accuracy_std,best_val_loss_mean,best_val_loss_std,best_epoch_first,single_class_only_first
EDT,"negatives_creation: ['naive', 30]",0.3366887821246092,0.005811807788685284,0.4714285714285715,0.04948716593053931,0.09262207241669769,0.005308924126972687,0.33874108483483484,0.00936650035530751,0.4653465346534653,0.060021562638525434,0.09256426564693641,0.008631871281544998,10,False
EDT,"negatives_creation: ['naive', 45]",0.3366887821246092,0.005811807788685284,0.4714285714285715,0.04948716593053931,0.08571969102920285,0.004536492977330133,0.33949256342957135,0.0053340497310958015,0.4240924092409241,0.06573790193743262,0.09400016114825734,0.006911248317612438,10,False
EDT,"negatives_creation: ['naive', 60]",0.3295091880270098,0.03514491509966079,0.45588235294117646,0.10188534162169861,0.08796476136469017,0.010175427159603033,0.349356638767161,0.0019415007768011582,0.4761904761904761,0.06775028669061933,0.09059587771331949,0.009967149949587785,4,True
EDT,"negatives_creation: ['sentence_transformer_dissimilarity', 'max']",0.3333333333333333,0.0,0.5,0.0,0.08333334059469283,1.393638169756022e-08,0.6091261558442266,0.2388435904758464,0.665016501650165,0.14290848247267965,0.08467228412044177,0.011255521011306294,10,True
EDT,"negatives_creation: ['sentence_transformer_dissimilarity', 'mean']",0.3333333333333333,0.0,0.5,0.0,0.08333333637861033,1.9849463511687697e-09,0.3333333333333333,0.0,0.5,0.0,0.0922658114936879,0.015471505670513105,1,True
EDT,"negatives_creation: ['sentence_transformer_dissimilarity', 'min']",0.3333333333333333,0.0,0.5,0.0,0.08135272380378511,0.0034305210668868127,0.5044451686916088,0.1481882932918303,0.5676567656765676,0.05864473809873547,0.09027940679876374,0.011906407074509373,1,True
stock_emotion,"negatives_creation: ['naive', 30]",0.3333333333333333,0.0,0.5,0.0,0.08421649851946421,0.0014252669813027649,0.3764415583615255,0.05813738416592151,0.5117521367521367,0.025906742848252427,0.10006257927276067,0.014095025991310735,5,True
stock_emotion,"negatives_creation: ['naive', 45]",0.3333333333333333,0.0,0.5,0.0,0.09056052853183079,0.012184311029493411,0.3424214840339594,0.008869666298346894,0.4903846153846154,0.013970829947245769,0.09785353295659988,0.011245806570134818,7,True
stock_emotion,"negatives_creation: ['naive', 60]",0.32973620169831874,0.012660751687971468,0.49671052631578944,0.011395071102426803,0.09167079352610336,0.0076733914336960295,0.33702125188193294,0.012578007352173699,0.5032679738562091,0.011320593513522046,0.09329759356949259,0.014565107086268826,1,True
stock_emotion,"negatives_creation: ['sentence_transformer_dissimilarity', 'max']",0.3333333333333333,0.0,0.5,0.0,0.09736369181704778,0.01145819928987993,0.3333333333333333,0.0,0.5,0.0,0.08900906731430282,0.00493771924370745,1,True
stock_emotion,"negatives_creation: ['sentence_transformer_dissimilarity', 'mean']",0.33986366344242985,0.011310863539152054,0.5021505376344085,0.003724840446384676,0.0831213740411625,0.0007627004043043313,0.3491137714551862,0.005491337402174621,0.49893162393162394,0.0037009632640360494,0.09522792837745708,0.010984600372317823,8,True
stock_emotion,"negatives_creation: ['sentence_transformer_dissimilarity', 'min']",0.3372379118528028,0.006762928377863112,0.4967741935483871,0.005587260669577037,0.09246857461709808,0.00723630757415002,0.3389102422182328,0.0059160556432084075,0.48931623931623935,0.00979182840802532,0.09490525927906433,0.011970997072356415,1,True
stock_net,"negatives_creation: ['naive', 30]",0.3333333333333333,0.0,0.5,0.0,0.10813155176376532,0.009761254865171579,0.3333333333333333,0.0,0.5,0.0,0.1104141197175182,0.005563198903441441,1,True
stock_net,"negatives_creation: ['naive', 45]",0.3333333333333333,0.0,0.5,0.0,0.101328381914354,0.014745758752097342,0.3333333333333333,0.0,0.5,0.0,0.11007208937096569,0.0074831629318499095,1,True
stock_net,"negatives_creation: ['naive', 60]",0.3333333333333333,0.0,0.5,0.0,0.10213992133690751,0.004084295474940491,0.3343940461727146,0.0018372085300489836,0.5,0.0,0.10790546241582522,0.0027440037016228966,7,True
stock_net,"negatives_creation: ['sentence_transformer_dissimilarity', 'max']",0.3333333333333333,0.0,0.5,0.0,0.1171103791551375,0.015575437414771694,0.3333333333333333,0.0,0.5,0.0,0.10848128638722261,0.006565911231887208,1,True
stock_net,"negatives_creation: ['sentence_transformer_dissimilarity', 'mean']",0.3333333333333333,0.0,0.5,0.0,0.09725622452733639,0.005017121117214701,0.3333333333333333,0.0,0.5,0.0,0.11512158606672114,0.01494896195057417,1,True
stock_net,"negatives_creation: ['sentence_transformer_dissimilarity', 'min']",0.3333333333333333,0.0,0.5,0.0,0.09100437872686279,0.01299570004350614,0.3390462791242992,0.009895112370839659,0.5012033694344163,0.0020842970006846153,0.11285262411192987,0.004070019797415758,1,True
